Retranslation,Avg Logit Value,Std Logit Value,Avg Non Zero,Std Non Zero
"

Stephen Curry is an athlete.",124.33881920903954,19.593584164558617,1.1779661016949152,0.4565534590798733
"

Stephen Curry is an athlete, a professional, and a center-back.",129.3962041522491,22.5559982853099,1.1695501730103806,0.4350239285567233
"

If Stephen Curry is a professional and plays as a center-back, then he is not an athlete.",133.61260517799352,24.380847930532543,1.1197411003236246,0.3623439482790526
"

Tyler joins the student government in high school.",144.66090987124463,23.58598020967338,1.090128755364807,0.32826305881498613
"

If Tyler is both staying alone in high school and well-adjusted and engaged in the community, or neither is staying alone nor both are not well-adjusted and not engaged, then Tyler either has many opportunities to improve his communication skills and is staying alone in high school, or does not have many opportunities and is not staying alone in high school.",119.31167510548524,20.898838950153365,1.1265822784810127,0.3976474007854995
"

Tim is majoring in Computer Science.",137.09641420118345,23.147456061612804,1.136094674556213,0.36786464005608416
"

Tim does not major in computer science and is not from the Yale Running Club.",143.12895172413795,25.158472287188975,1.1275862068965516,0.3818255168620763
"

Tim finishes the Boston Marathon within 3 hours.",134.02951451187334,22.637475682217353,1.158311345646438,0.431299561830133
"

There exist two distinct roses that are both noisy.",138.59657818181816,23.918029709904776,1.1018181818181818,0.3142037029414974
"

Murphy does not study light generation, and Murphy does not study light transmission, and Murphy does not study light detection.",120.47350281954887,24.56371313857348,1.1917293233082706,0.4678450216985466
"

Murphy studies science.",122.33120140515223,21.184156483717945,1.1920374707259953,0.4796879533131827
"

There exists someone who studies engineering.",116.79244140030443,19.601914894965187,1.235159817351598,0.5478167657686249
"

Martha is a friend of Jane and Martha works in the lab.",142.07374838709677,23.342505191752952,1.1096774193548387,0.3324928703671
"

Martha is a friend of Jane, and either Martha regularly wears a casual outfit to work or Martha is inclined towards an analytical career.",136.73247727272727,24.717841605065757,1.1031468531468531,0.3420279291348576
"

Martha is a friend of Jane, and Martha either both wears a casual outfit regularly to work and is inclined towards an analytical career, or neither does.",117.94818559077811,22.25571735207539,1.15850144092219,0.4810004605834564
"

Jack is a human.",135.72496284829722,22.33676815094252,1.1238390092879258,0.3564810800865869
"

Jack can vote and can get married.",141.1186182572614,22.67331849931291,1.0912863070539418,0.2880158280344942
"

Jack can either vote or get married, but not both.",141.82424615384616,22.51119486858046,1.0717948717948718,0.27730268378657996
"

The University of Oxford is ranked among prestigious universities.",144.69297276264592,22.840607741375162,1.0894941634241244,0.29877593494867655
"

The University of Edinburgh is older than the University of Oxford.",150.6371359649123,22.19515328462511,1.0657894736842106,0.26501537438632966
"

The University of Oxford is made up of thirty-nine colleges.",139.03561516034986,25.317860546359388,1.1341107871720117,0.37342830516240316
"

For all x, x is a brick and x floats on water.",116.09543086053412,21.14607779359886,1.2106824925816024,0.5404733144569469
"

Pan refuses to work in person.",140.2263377308707,22.260918532183076,1.129287598944591,0.3656234334985364
"

Pan refuses to work in person or Pan is hardworking.",138.89151554404145,23.943377151645176,1.11139896373057,0.3384276526247557
"

Pan does not refuse to work in person and Pan is not hardworking.",138.60191666666665,26.46757267933697,1.1262626262626263,0.3612788336920817
"

Kate has traveled to the Iberian Peninsula.",135.15626062322949,23.782356760468822,1.13314447592068,0.4009274292054793
"

Kate took a selfie at the Sagrada Familia basilica.",135.45754153846156,22.52775679028253,1.1384615384615384,0.3873747172927437
"

Kate did not take a selfie at the Basilica Sagrada Familia.",143.66006403940887,22.92289418804899,1.0763546798029557,0.29206671805992634
"

Kate has never left the USA.",126.95391666666667,23.744767748198655,1.1481481481481481,0.4040263746161376
"

Kate has left the USA.",133.6831319648094,22.510883907878064,1.1466275659824048,0.41478758900291335
"

Either Kate took a selfie at the Sagrada Familia or Kate never left the USA, but not both.",140.1295986238532,22.936823137265144,1.091743119266055,0.3397593428833249
"

If Kate has not both taken a selfie at the Sagrada Familia and been to Europe, then Kate has left the USA.",133.10380118343195,25.872247485592325,1.106508875739645,0.34127190080088754
"

If Kate has not both taken a selfie at the Sagrada Familia and been to Europe, then she has taken a selfie at the Sagrada Familia.",119.29799882766707,20.72732104587007,1.1594372801875732,0.44771557260398936
"

Pulp is an English band.",128.11189795918366,19.868898140691865,1.1791383219954648,0.46862580153546607
"

James Cocker is a documentary feature.",135.2479941860465,21.037792439757986,1.1366279069767442,0.3834455495292112
"

Pulp is a best band.",138.49302097902097,22.79252254163081,1.1083916083916083,0.34296047673297514
"

Today is December 1st.",128.81079264214046,18.881612473580947,1.1137123745819397,0.3476330825467902
"

For any x, if x is thirty days before the end of the year, then x is a Wednesday.",145.430475,25.800017380408388,1.1,0.3535533905932738
"

Every plane is faster than every bike.",130.27129287598947,22.744662405219742,1.1767810026385224,0.45700549012371433
"

For any x and y, if x is a plane and y is walking, then x is faster than y.",125.740171875,20.995697965077785,1.130859375,0.4007620228696943
"

There exists a scarf made of alpaca that was not bought by an experienced shopper.",141.26363934426226,23.25586344293595,1.1024590163934427,0.31647730987324557
"

Jackie owns a startup.",133.24653333333333,24.090111845058452,1.1300813008130082,0.38591775511808346
"

Jackie is either a full-time student or a part-time student, but not both.",134.79505,24.90431590154547,1.0941176470588236,0.31148711282055835
"

Jackie is part-time and there exists a number of courses y such that y is less than num2 and Jackie takes y courses.",108.07777368002121,18.869309677980286,1.1950119395065004,0.4977173217393967
"

Either Jackie is part-time, or there exists a course y such that y is less than num2 and x takes course y, but not both.",117.2181009771987,21.30687474828738,1.213897937024973,0.5260449054681872
"

If Jackie is either both part-time and in the Forbes 30 Under 30 or neither, then she is listed in the Forbes 30 Under 30 and takes less than two courses in the current semester.",110.28994669825289,20.676394382609544,1.159905241338466,0.43725364727043325
"

James exercises every day.",136.89388188976378,22.219727265955616,1.1377952755905512,0.3876903411327154
"

James does not exercise every day, and he plays division 1 football, and he plays at Yale University.",147.1416914893617,26.389881268169503,1.127659574468085,0.35432612756870346
"

James exercises every day, plays Division 1 football, and plays at Yale University.",125.72772443674177,24.743967368332523,1.1871750433275563,0.4631762381557037
"

If there is no y such that x's GPA in y is above num1, then James exercises every day, plays division 1 football, and plays at Yale University.",111.32475730256041,21.2354280340151,1.2672196177425172,0.575052409299644
"

If James does not exercise every day and plays division 1 football at Yale University, then he plays division 1 football at Yale University.",122.09243735763098,26.16306644240629,1.1252847380410023,0.37915305270467375
"

Simon is a member of the Northern Premier League.",150.34708214285715,22.513566607009484,1.0714285714285714,0.27105237087157535
"

Simon Hackney plays at Wincham Park.",131.73005120481926,22.114845951083385,1.144578313253012,0.4358216204261669
"

uS31 is in Alabama.",139.8943542857143,23.067039532388357,1.1314285714285715,0.3623506025711472
"

cR47 is not in Alabama.",145.36094333333332,22.864320572312128,1.1,0.31091263510296047
"

sR287 is in the United States.",131.83630077120824,21.48396388878999,1.1362467866323906,0.4049149211105999
"

Andres can propel the boat forward.",141.95264375000002,23.719650124118314,1.15625,0.3960251728110222
"

Andres coaches the crew when the coach is not present and Andres is in command of the boat.",122.66030267062314,23.3546502554054,1.1706231454005935,0.42784800380559546
"

Andres does not coach the crew when the coach is not present and is not in command of the boat.",129.70466396761134,25.015918194767472,1.1376518218623481,0.4056941439324793
"

Snare drum is a timpani.",125.64721568627449,23.605811816698335,1.184640522875817,0.48192089246388836
"

The snare drum is not a timpani.",130.65243627450982,24.21920297918409,1.1274509803921569,0.3548423739383109
"

Snare drum is a xylophone.",119.45082978723403,20.687823920234198,1.1778115501519757,0.48408728494049713
"

Either the snare drum is a xylophone or it is tuned by tightening.",137.08915966386556,21.55825829051888,1.1204481792717087,0.39542456100888057
"

Either the snare drum is a xylophone or it is tuned by tightening, but not both.",131.95211645101665,21.74551208546024,1.1293900184842884,0.4008832639605444
"

Banana needs to be washed.",139.90251675977652,23.315087047126422,1.1089385474860336,0.34556809614423395
"

The banana is unripened and is served in a bowl.",145.87811550151974,25.224682818735467,1.121580547112462,0.36209781426955456
"

Either the banana is unripened or it is served in a bowl, but not both.",138.67792144373672,23.993976491815502,1.1104033970276008,0.3456094753586404
"

Borj Masouda is a military construction designed to defend territories in warfare.",126.54063309352519,22.143600778033782,1.146282973621103,0.421476047972668
"

Borj Masouda is in Medina Sfax.",144.25096440129454,24.623125982844208,1.0938511326860842,0.3426449432379657
"

Borj Masouda is not in Tunisia.",139.83343816254416,25.564775616675806,1.127208480565371,0.3825730937788975
"

Borj Masouda is a defensive wall.",147.57563782051284,22.825255761062756,1.1121794871794872,0.3538873768258202
"

Every rower does not have Sydney as their home city.",130.21921603563473,23.804840446183434,1.1403118040089086,0.4118521269742116
"

For all x, if x is Australian, then x is not represented in New South Wales.",140.4948797250859,23.82019381644255,1.0790378006872852,0.2822475491186401
"

There exists an individual who is Australian, competes in sweep oared events, and represents New South Wales.",135.6716325,23.161123790793138,1.105,0.33011361680488127
"

Susan lives in this neighborhood, and she grew up as an only child, and she has a close knit with her family.",137.71052525252523,26.56548376794821,1.0888888888888888,0.30513745499725164
"

Susan is in this neighborhood and Susan tries to start a new diet.",130.15269426751593,26.391551479008587,1.157112526539278,0.4707442565406569
"

Susan lives in this neighborhood, and it is not the case that Susan either grew up as an only child with a close knit family or has a packed schedule and lives close to stopAndShop.",153.329713091922,23.6794992226565,1.075208913649025,0.2840679394759211
"

John is a vegetarian if and only if he does not eat meat and does not eat fish.",147.45416374269007,26.535584982528672,1.0847953216374269,0.3084622095410637
"

All vegans do not eat eggs.",141.00393732970028,22.604931698265887,1.1226158038147138,0.35969366632205424
"

For all x, if x does not eat eggs, then x is good for health.",130.02104791666667,24.049980181033845,1.1395833333333334,0.38635022072668157
"

The provision of high meat content food and object play does not reduce predation of wild animals by domestic cats.",116.83908690744923,20.903626946094224,1.2099322799097065,0.5171468391103243
"

If the provision of high meat content food and object play to reduce predation of wild animals by domestic cats is either easily accepted and has an abstract or not easily accepted and does not have an abstract, then the provision is prominent, published, and requires peer review.",118.749050918197,21.41574183528332,1.1569282136894825,0.4609070463382555
"

If the provision either does not have an abstract or requires peer review, then the provision is both a science journal and easily accepted, or neither is.",120.77738159255429,20.815806254950402,1.1747673216132368,0.49763070770257506
"

The family Pirate Party is not released in North America.",129.29342434210525,23.929199352097715,1.1546052631578947,0.39625530310073714
"

The family pirate party was released in Japan.",137.28671072319204,24.46208518242933,1.1546134663341645,0.3750775982466007
"

The movie ""Family Pirate Party"" was released in both North America and Japan.",149.68534033613446,26.33402560252783,1.0714285714285714,0.28832837755122287
"

The family pirate party is listed in Wii.",114.81286257928119,19.73783164093711,1.1818181818181819,0.4895604370122277
"

John takes the iELTSExam, the iELTSExam is taken on a computer, and John does not both take speaking and use a computer.",132.09434428794992,21.074077284131647,1.1111111111111112,0.37760283162662206
"

If John takes the IELTS exam, then John uses paper.",146.98134527687296,24.160919144360545,1.0618892508143323,0.2785730521592873
"

For every person, if they take the iELTS exam and take reading, then they use paper or they use computer.",136.99296688741723,25.019207097002504,1.0927152317880795,0.31902846539560153
"

Either there does not exist an Apple product that Chen uses, or there exists an Apple product that Chen uses.",119.08932231404958,21.291341289283523,1.1811824539097266,0.4739648946067611
"

Chen either uses the Apple ecosystem or cares about extreme customization, but not both.",149.37956585365856,23.390409908540843,1.0439024390243903,0.22744474589023936
"

Chen uses Android or Chen uses Apple Eco System, but not both.",131.84160240963854,21.58072117732603,1.1662650602409639,0.4266081152063755
"

Chen uses Apple either in the ecosystem or not, but not both.",127.48562818590703,22.497941818500884,1.118440779610195,0.3903697904929724
"

If Chen uses Apple or AppleEcoSystem but not both, then Chen does not use Apple and does not use AppleEcoSystem.",124.87075403608735,22.35097925559507,1.131054131054131,0.40640004560756265
"

If Chen does not use the Apple Eco System, then Chen does not use Android.",116.817966396292,18.05287840933236,1.1614522981846274,0.4440556005114968
"

If Chen does not use any Apple products and uses the Apple ecosystem, then Chen uses either Apple or the Apple ecosystem, but not both.",116.6845064935065,22.560097817415222,1.139009139009139,0.40844050413631117
"

Jan Jelinek is an electronic musician.",141.68571428571428,21.854402865997756,1.1295681063122924,0.37330722632791324
"

Jan Jelinek is not a signed musician.",143.0615422740525,23.209692371381408,1.1224489795918366,0.34513335765893394
"

Jan Jelinek is German.",129.66164827586206,21.09020764765292,1.1413793103448275,0.4119066192964299
"

Amy is a Pasifika New Zealander.",123.73078436657681,19.35417008192217,1.1805929919137466,0.44931895016851475
