Retranslation,Avg Logit Value,Std Logit Value,Avg Non Zero,Std Non Zero
Stephen Curry is an athlete.,91.43293292682927,27.702351259311577,35.05487804878049,3.5480208306034777
"Stephen Curry is an athlete, a professional, and a center back.",98.58650632911392,32.09653021681348,35.13291139240506,3.4915892257341237
"If Stephen Curry is a professional and a center back, then he is not an athlete.",90.371012345679,29.076179486810684,35.02160493827161,3.634050543140405
Tyler joins the student government in high school.,85.01226666666669,24.384923524617374,34.811764705882354,3.578237437667176
"If it is not the case that Tyler stays alone in high school or is both well‑adjusted and engaged in the community, then it is not the case that Tyler has many opportunities to improve his communication skill or stays alone in high school.",91.94852941176471,23.658088174194432,35.211898395721924,3.3731628202825403
Tim is majoring in computer science.,88.0394447592068,23.533950563738056,35.28328611898017,3.3878935386437528
Tim is not majoring in computer science and is not from the Yale Running Club.,92.37823809523809,27.990048984667567,35.62770562770563,3.2699488882132046
Tim finishes the Boston Marathon within 3 hours.,88.65688479262674,27.11568501316666,35.225806451612904,3.376481060162458
There are two distinct roses that are noisy.,94.06355555555557,32.19892393152175,35.23232323232323,3.132844200468602
"Murphy does not study light generation, light transmission, or light detection.",92.08489591078067,30.514709579565473,34.95910780669145,3.3575915125770424
Murphy studies science.,85.82610434782607,28.737125594474296,35.130434782608695,3.3918617156247106
There exists someone who studies engineering.,89.89156164383562,26.72277941797115,35.78767123287671,3.0390357701843724
Martha is a friend of Jane and works in the lab.,91.11277911646587,26.502223270596446,34.899598393574294,3.408287772698122
"Martha is a friend of Jane, and she either regularly wears casual outfits to work or is inclined toward an analytical career.",101.72384593837535,29.677928576275434,34.84873949579832,3.690335600253954
"Martha is Jane’s friend, and it is not the case that Martha either regularly wears casual outfits to work or is inclined towards an analytical career exclusively.",99.42398901098902,27.91674828371211,34.87692307692308,3.5663592086428775
Jack is a human.,83.58766257668711,25.256736232280776,35.30061349693251,3.421575300608178
Jack can vote and can get married.,90.93991860465115,31.332144689104133,34.75,3.5668450654507313
"Jack can either vote or get married, but not both.",95.19614598540146,30.972494118025057,34.824817518248175,3.2395769080765384
Oxford University is ranked among prestigious universities.,93.5251582733813,30.534421414391336,35.07194244604317,3.366445273706407
The University of Edinburgh is older than the University of Oxford.,101.74181147540983,32.844346194185,34.68032786885246,3.421883273638021
The University of Oxford is made up of thirty‑nine colleges.,96.54516666666667,31.319339254861543,35.708333333333336,3.2422450212434253
All bricks float on water.,91.04297515527949,28.694080126352187,35.29192546583851,3.020920331061144
Pan refuses to work in person.,83.17889080459771,25.20280611621957,34.9080459770115,3.397538608402745
Pan either refuses to work in person or is hard‑working.,88.05598312236286,23.891920594365764,35.40295358649789,3.2647057313965866
Pan does not refuse to work in person and is not hard‑working.,91.85961304347825,28.917317387650098,35.44347826086957,3.0820414023904914
Kate has traveled to the Iberian Peninsula.,95.59258108108108,32.46857487758376,34.86486486486486,3.544406801755844
Kate took a selfie at the Basilica Sagrada Familia.,92.12205576208179,28.7641874378491,34.64312267657993,3.939948755611723
Kate did not take a selfie at the Sagrada Família.,93.9487076923077,31.536072046381367,34.48461538461538,3.8654975107891563
Kate has never left the USA.,83.1864778067885,24.357291922980867,35.23237597911227,3.530663344155376
Kate has left the USA.,82.85008306709265,23.810034283221427,35.24920127795527,3.501055203928786
"Kate took a selfie at the Sagrada Família or she never left the USA, but not both.",96.76694652406418,29.421154245931888,35.05347593582888,3.4451122011188433
"If Kate did not both take a selfie at the Sagrada Familia and visit Europe, then Kate has left the USA.",94.53200000000001,24.350599532862763,35.121149897330596,3.409689104092292
"If it is not the case that Kate took a selfie at the Sagrada Familia and has been to Europe, then Kate took a selfie at the Sagrada Familia.",96.78593738819319,24.89146837065348,34.883720930232556,3.526907015451955
Pulp is an English band.,85.80991011235956,23.468842816338167,35.60674157303371,3.4466005969343962
James Cocker is a documentary feature.,84.70873913043478,23.715119665197193,35.508361204013376,3.4304991967783462
Pulp is the best band.,92.32258415841582,30.133694405763574,35.04950495049505,3.222373019024624
Today is December 1st.,86.88009756097561,23.050570351448297,35.646341463414636,3.762368063384861
"For every day, if there are thirty days remaining until the end of the year, then that day is Wednesday.",88.63539605734766,23.144373644746896,35.88351254480287,3.1164462331948872
"For every x and y, if x is a plane and y is riding a bike, then x is faster than y.",90.58788727272727,25.806301785945475,35.47636363636364,2.9827360006522166
Every plane is faster than every walking entity.,87.98881385281385,26.38039234542736,35.53679653679654,2.946446410132079
There exists a scarf that is an alpaca and was not bought by the experienced shopper.,91.34561094224924,27.06926475378746,35.209726443769,3.1836058370619456
Jackie owns the start-up.,81.95084696569921,21.08383049309449,35.47229551451187,3.3763335498507776
"Jackie is either full‑time or part‑time, but not both.",95.85607727272728,29.2905955958941,35.268181818181816,3.570827044974871
"Jackie is a part‑time student, and there exists a number y less than num2 such that x takes y courses.",87.90729400749065,26.857202168086214,35.60299625468165,3.36923601460084
"Jackie is a part‑time student if and only if there exists a y such that y is less than num2 and x takes courses y, and exactly one of these two statements is true.",82.01174105197634,14.936208615757595,34.98381574852163,3.2118458003215204
"If Jackie is neither a part‑time student nor on the Forbes list, then there exists a number y less than num2 such that Jackie takes y courses, and Jackie is on the Forbes list.",90.42636107711138,26.947691457102135,35.309669522643816,3.345954939366069
James exercises every day.,90.5437627118644,29.56176575414629,35.07627118644068,3.3977978403292406
"James does not exercise every day, plays division 1 football, and plays at Yale University.",92.18697512437811,26.828232159339183,35.37810945273632,3.556413645496098
"James exercises every day, plays division 1 football, and plays at Yale University.",92.24999696969695,26.92164835350332,35.16969696969697,3.4309186726699985
"If x does not have a GPA above num1, then James exercises every day, plays division 1 football, and plays at Yale University.",92.61052361111109,25.914469499350663,35.765277777777776,3.3319438654994635
"If James does not exercise every day and plays division 1 football and plays at Yale University, then he plays division 1 football and plays at Yale University.",90.49872905027932,24.24776399641888,35.150837988826815,3.2484868624545937
Simon is a member of the Northern Premier League.,88.7601963190184,22.976076887212553,35.17791411042945,3.6011590591516636
Simon Hackney plays at Wincham Park.,89.27441954022989,30.166324539087444,34.55747126436781,3.6835493934833745
uS31 is in Alabama.,92.02277777777778,27.90135352018446,35.598290598290596,3.8052142117893855
cR47 is not in Alabama.,90.19748701298701,25.122819656570886,34.55844155844156,3.652053350535286
sR287 is in the United States.,92.18560000000001,28.597243212716727,35.32727272727273,3.408836354132623
Andres can propel the boat forward.,90.65362595419847,26.29389211150643,34.954198473282446,4.0959160360472255
"Andres coaches the crew when the coach is not present, and he is in command of the boat.",97.07434677419354,29.830875406298283,35.39247311827957,3.471349294827118
Andres neither coaches the crew when the coach is not present nor is he in command of the boat.,95.55749246231156,27.40257630267294,35.34170854271357,3.3720427722326147
Snare drum is a timpani.,88.50588805970149,28.57985094241141,34.559701492537314,3.5439904863881493
The snare drum is not a timpani.,88.38853999999999,27.813597254371828,34.805,3.6588215315863657
Snare drum is a xylophone.,93.43818709677419,30.888308363706916,34.50967741935484,3.1548584998389773
The snare drum is either a xylophone or it is tuned by tightening.,97.00919676549864,29.646885249260954,34.706199460916444,3.6449484081699612
"The snare drum is either a xylophone or it is tuned by tightening, but not both.",100.84168799999999,33.14485123826408,34.78,3.491074333210337
The banana needs to be washed.,94.01933333333336,33.39281450621473,34.55555555555556,3.5653274807362894
The banana is unripe and served in a bowl.,91.27943866171005,27.88745307583047,34.58364312267658,3.553817796173667
"The banana is either unripened or served in a bowl, but not both.",97.9280934065934,28.355118738951994,34.84615384615385,3.2205489837217414
Borj Masouda is a military construction designed to defend territories in warfare.,98.63355617977528,31.218247569108836,34.54775280898876,3.8167976614348844
Borj Masouda is in Medina Sfax.,96.21796811594203,31.70289196741417,33.95072463768116,3.690238717717434
Borj Masouda is not in Tunisia.,100.61267796610167,31.58609165329247,34.69491525423729,3.772129000472808
Borj Masouda has a defensive wall.,94.77913855421687,29.877022421620392,33.825301204819276,3.877595310395783
"For every x, if x is a rower, then x does not have Sydney as their home city.",90.82144736842106,24.88574598305614,35.526315789473685,2.99622723682016
No Australian is represented in New South Wales.,93.41888421052631,27.656437561191186,35.04736842105263,3.256227785426216
There exists an Australian who competes in sweep‑oared events and represents New South Wales.,96.18982222222222,28.629455115542093,34.72592592592593,3.3007959301190994
"Susan is in this neighborhood, grew up as an only child, and has a close‑knit relationship with her family.",102.03817647058823,27.26279396214021,35.037151702786375,3.6314562148185345
Susan is in this neighborhood and she tries to start a new diet.,93.83265760869567,28.98537210194485,35.07065217391305,3.402430015364283
"Susan is in this neighborhood, and it is not the case that she either grew up as an only child and has a close‑knit relationship with her family, or she has a packed schedule and lives close to the stop‑and‑shop.",94.77952380952381,22.799709092705946,35.10592808551992,3.4886256714484496
John is vegetarian if and only if John does not eat meat and does not eat fish.,93.25193488372093,29.070472062557666,34.730232558139534,3.3035241847063825
All vegans do not eat eggs.,99.00422881355931,30.700785806597192,34.771186440677965,3.2817187955971283
Everyone who does not eat eggs is good for health.,88.81015517241379,25.44194030367135,35.5948275862069,3.2707650910174384
The provision of high‑meat‑content food and object play that reduces predation of wild animals by domestic cats Felis catus is not abstract.,98.4549453488372,29.523928862527278,35.097674418604655,3.5266090421050675
"If the provision of high‑meat‑content food and object play reduces predation of wild animals by domestic cats is either easily accepted or without abstract, then it is prominent, published, and requires peer review.",99.78293065693431,28.641680717252964,34.28284671532847,3.7667288077070773
"If the provision of high‑meat‑content food and object play to reduce predation of wild animals by domestic cats Felis catus is either without an abstract or requires peer review, then it is not the case that it is published in a science journal and easily accepted exclusively; in other words, it is either both published in a science journal and easily accepted, or neither published in a science journal nor easily accepted.",95.88651037663335,23.127136302812715,34.97847809377402,3.9180103448996553
